Sequence,Ciphertext_Entropy,IV_Length,IV_Entropy,Exec_Time,Secure
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.894,12,7.925,2.457,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.959,16,7.923,2.116,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.92,16,7.828,1.791,1
Cipher.getInstance -> Cipher.doFinal,5.754,16,4.528,0.411,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.896,16,7.85,1.492,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.967,16,7.863,1.028,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.981,16,7.932,1.726,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.904,16,7.875,1.549,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.997,12,7.873,1.689,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.838,0,0.0,1.025,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.875,16,7.982,1.634,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.901,12,7.926,1.959,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.853,12,7.978,2.446,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.956,16,7.871,1.138,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.9,12,7.913,1.54,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.956,16,7.89,1.398,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.418,16,2.741,1.398,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.445,16,3.504,0.497,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.005,16,2.241,1.273,0
Cipher.getInstance -> Cipher.doFinal,6.788,16,0.905,0.384,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.883,16,7.931,1.785,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.573,16,7.949,1.718,0
Cipher.getInstance -> Cipher.doFinal,7.897,16,5.085,0.196,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.872,12,7.854,1.425,1
Cipher.getInstance -> Cipher.doFinal,6.186,16,0.989,0.404,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.711,16,7.754,1.649,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.987,16,7.808,1.286,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.074,16,2.036,0.862,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.61,16,3.385,1.828,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.259,0,0.0,1.316,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.863,16,7.92,2.24,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.933,12,7.858,1.231,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.669,16,7.59,1.025,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.568,16,7.734,1.14,0
Cipher.getInstance -> Cipher.doFinal,5.954,0,3.72,0.12,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.999,16,7.874,1.737,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.258,16,3.98,1.848,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.895,16,7.558,0.63,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.869,16,7.67,1.857,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.999,12,7.909,0.77,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.985,16,7.953,0.787,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.992,12,7.917,2.468,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.502,0,0.0,0.942,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.871,16,7.854,1.53,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.936,16,7.904,1.335,1
Cipher.getInstance -> Cipher.doFinal,7.731,0,6.121,0.464,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.906,12,7.94,0.56,1
Cipher.getInstance -> Cipher.doFinal,6.882,16,1.596,0.382,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.929,16,7.856,2.47,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.739,0,0.0,1.181,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.998,12,7.889,2.051,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.561,16,7.902,0.543,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.924,16,7.967,1.324,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.891,16,7.712,1.704,0
Cipher.getInstance -> Cipher.doFinal,5.304,16,2.703,0.169,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.969,12,7.974,0.921,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.938,16,7.944,1.908,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.919,16,7.838,0.553,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.875,16,7.863,2.47,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.91,16,7.918,0.531,1
Cipher.getInstance -> Cipher.doFinal,5.458,16,6.631,0.467,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.889,0,0.0,0.589,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.854,12,7.972,1.536,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.882,12,7.845,1.069,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.608,16,7.637,1.72,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.767,0,0.0,1.338,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.237,0,0.0,0.857,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.32,16,2.224,1.375,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.98,16,7.857,0.733,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.793,0,0.0,1.423,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.425,16,3.013,0.863,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.119,16,3.795,1.616,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.578,16,7.965,1.764,0
Cipher.getInstance -> Cipher.doFinal,6.698,16,0.342,0.348,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.914,12,7.886,1.889,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.883,12,7.855,1.648,1
Cipher.getInstance -> Cipher.doFinal,6.209,0,7.129,0.191,0
Cipher.getInstance -> Cipher.doFinal,6.846,0,0.479,0.249,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.859,16,7.573,0.646,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.977,16,7.99,1.138,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.97,16,7.801,0.587,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.944,16,7.902,1.45,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.857,16,7.848,2.094,1
Cipher.getInstance -> Cipher.doFinal,6.844,0,7.847,0.467,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.739,16,7.623,1.072,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.856,12,7.87,0.811,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.857,16,7.932,1.868,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.94,16,7.882,0.98,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.493,16,2.734,1.64,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.119,0,0.0,0.484,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.564,0,0.0,0.493,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.633,16,4.481,1.284,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.851,16,7.889,0.914,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.978,16,7.873,2.482,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.974,12,7.814,1.251,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.995,12,7.997,1.355,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.99,16,7.942,0.952,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.965,12,7.934,1.835,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.819,0,0.0,1.416,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.626,16,7.701,0.65,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.76,16,4.371,0.756,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.975,16,7.801,1.294,1
Cipher.getInstance -> Cipher.doFinal,6.416,16,1.904,0.13,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.891,12,7.822,1.969,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.819,16,7.761,1.71,0
Cipher.getInstance -> Cipher.doFinal,6.056,0,4.405,0.135,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.551,16,7.664,0.691,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.975,16,7.981,1.3,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.962,12,7.924,1.655,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.903,16,7.922,1.671,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.937,16,7.974,2.05,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.856,12,7.839,1.519,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.896,12,7.938,2.046,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.928,12,7.971,1.771,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.755,16,3.517,1.698,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.19,16,1.673,1.737,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.504,0,0.0,1.256,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.968,12,7.881,0.87,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.618,16,1.254,1.102,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.573,16,3.383,1.152,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.533,0,0.0,0.665,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.966,16,7.856,2.47,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.965,16,7.988,1.633,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.933,12,7.957,0.715,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.717,16,3.478,0.408,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.89,16,7.961,0.806,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.99,12,7.865,2.44,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.719,16,2.326,0.854,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.467,16,2.457,0.891,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.267,16,1.513,0.582,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.862,16,7.907,0.586,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.854,12,7.984,1.812,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.892,12,7.849,1.863,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.956,12,7.873,1.561,1
Cipher.getInstance -> Cipher.doFinal,6.827,0,0.303,0.159,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.861,16,7.994,1.833,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.852,16,7.83,0.672,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.87,12,7.879,1.526,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.655,16,7.649,0.988,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.888,12,7.91,1.194,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.663,0,0.0,0.894,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.997,12,7.9,2.035,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,8.0,12,7.881,1.81,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.735,16,7.737,0.701,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.778,0,0.0,0.735,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.914,16,7.921,0.755,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.895,16,7.922,1.729,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.966,12,7.897,1.3,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.862,16,7.983,2.274,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.946,12,7.918,1.036,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.876,16,7.936,1.657,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.574,16,7.709,1.549,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.9,0,0.0,0.777,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.975,12,7.907,0.877,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.622,16,7.87,1.889,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.531,16,3.58,1.59,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.328,0,0.0,0.916,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.962,16,7.835,0.696,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.986,12,7.834,1.095,1
Cipher.getInstance -> Cipher.doFinal,6.91,0,3.071,0.411,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.807,16,7.725,1.195,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.083,0,0.0,0.962,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.503,16,7.924,0.686,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.563,16,7.896,1.035,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.879,12,7.846,1.491,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.899,16,7.99,2.435,1
Cipher.getInstance -> Cipher.doFinal,7.587,0,6.307,0.127,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.881,12,7.886,1.942,1
Cipher.getInstance -> Cipher.doFinal,7.592,0,0.12,0.284,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.719,16,4.29,0.812,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.982,12,7.819,0.828,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.884,16,7.898,0.578,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.856,12,7.845,0.998,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.947,16,7.847,1.017,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.787,16,7.718,1.38,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.799,16,2.359,0.57,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.516,16,3.187,1.88,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.5,16,7.778,1.71,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.933,12,7.869,2.334,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.734,16,1.039,0.656,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.945,12,7.84,0.967,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.045,16,2.254,1.038,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.798,16,7.88,1.702,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.922,16,7.992,1.017,1
Cipher.getInstance -> Cipher.doFinal,7.244,0,0.978,0.446,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.944,16,7.882,1.547,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.786,0,0.0,1.116,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.012,16,1.976,0.863,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.179,16,2.507,0.686,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.857,12,7.894,2.447,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.511,16,2.531,0.548,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.91,0,0.0,0.436,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.968,12,7.952,1.505,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.918,12,7.866,2.276,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.318,0,0.0,0.493,0
Cipher.getInstance -> Cipher.doFinal,5.925,0,1.884,0.374,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.496,0,0.0,1.228,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.627,16,7.989,1.405,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.63,16,7.977,0.732,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.86,16,7.973,1.134,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.86,12,7.85,1.806,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.082,16,1.457,0.785,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.543,16,7.757,1.689,0
Cipher.getInstance -> Cipher.doFinal,6.904,16,6.025,0.181,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.99,12,7.922,2.237,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.627,16,7.969,0.736,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.582,16,7.687,1.168,0
Cipher.getInstance -> Cipher.doFinal,5.686,0,0.284,0.461,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.995,12,7.852,1.036,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.917,16,7.957,0.609,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.986,0,0.0,1.412,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.851,12,7.821,0.519,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.974,12,7.823,2.188,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.663,16,1.723,0.41,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.22,0,0.0,0.997,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.844,0,0.0,1.402,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.214,16,4.31,1.685,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.97,12,7.808,1.849,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.201,0,0.0,0.707,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.127,0,0.0,0.949,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.544,16,7.878,1.194,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.936,16,7.875,1.347,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.972,0,0.0,1.048,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.92,16,7.906,0.602,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.95,16,7.829,1.332,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.97,16,7.992,0.827,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.357,16,1.837,0.813,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.942,16,7.892,1.388,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.731,16,7.783,0.785,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.808,16,7.98,1.246,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.957,12,7.959,1.256,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.932,16,7.974,0.958,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.91,16,7.899,1.56,1
Cipher.getInstance -> Cipher.doFinal,6.958,16,4.288,0.163,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.871,16,7.859,1.611,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.892,16,7.973,1.601,1
Cipher.getInstance -> Cipher.doFinal,7.04,0,6.424,0.36,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.913,16,7.9,1.31,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.879,12,7.956,0.941,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.9,12,7.964,1.909,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.725,16,7.657,1.69,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.107,0,0.0,0.53,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.256,16,1.387,0.907,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.931,12,7.873,1.634,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.893,12,7.802,0.606,1
Cipher.getInstance -> Cipher.doFinal,5.543,0,0.159,0.43,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.951,16,7.919,1.431,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.978,12,7.852,1.719,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.997,16,7.959,2.452,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.383,16,2.882,1.778,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.958,12,7.845,1.81,1
Cipher.getInstance -> Cipher.doFinal,5.538,16,1.751,0.217,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.971,12,7.837,0.842,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.266,16,2.659,0.44,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.979,12,7.823,1.6,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.895,16,7.877,1.981,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.886,16,7.801,1.014,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.881,16,7.673,1.819,0
Cipher.getInstance -> Cipher.doFinal,7.668,16,6.386,0.184,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.959,16,7.863,1.919,1
Cipher.getInstance -> Cipher.doFinal,7.887,0,2.196,0.105,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.646,16,2.999,0.871,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.977,16,7.833,1.579,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.863,12,7.856,1.704,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.952,12,7.943,0.994,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.962,12,7.813,1.934,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.861,12,7.834,0.608,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.859,16,7.846,1.675,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.853,12,7.823,2.243,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.803,16,7.555,1.642,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.989,12,7.973,0.784,1
Cipher.getInstance -> Cipher.doFinal,6.319,16,0.108,0.215,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.916,12,7.822,1.869,1
Cipher.getInstance -> Cipher.doFinal,6.674,16,0.001,0.278,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.154,0,0.0,0.871,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.364,0,0.0,1.423,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.984,16,7.961,1.946,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.943,12,7.978,0.504,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.866,12,7.801,0.968,1
Cipher.getInstance -> Cipher.doFinal,7.224,0,6.597,0.303,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.732,0,0.0,0.496,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.934,16,7.953,1.884,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.933,16,7.88,1.864,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.923,12,7.852,0.743,1
Cipher.getInstance -> Cipher.doFinal,7.093,0,0.959,0.389,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.73,16,7.66,0.653,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.804,0,0.0,0.4,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.035,0,0.0,1.364,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.538,16,7.859,0.582,0
